transformation,model,prediction,total.calls,detected.calls,false.positives,missed.calls,precision,recall
mel,knn,wide,12,12,1,0,0.9230769230769231,1
stft,knn,precise,12,12,3,0,0.8,1
stft,knn,wide,12,12,2,0,0.8571428571428571,1
fft,knn,precise,12,12,1,0,0.9230769230769231,1
fft,knn,wide,12,12,1,0,0.9230769230769231,1
stft,rf,precise,12,12,8,0,0.6,1
stft,rf,wide,12,12,4,0,0.75,1
mel,rf,precise,12,12,3,0,0.8,1
mel,rf,wide,12,12,1,0,0.9230769230769231,1
fft,rf,precise,12,12,3,0,0.8,1
fft,rf,wide,12,12,2,0,0.8571428571428571,1
mel,ensemble,precise,12,12,3,0,0.8,1
mel,ensemble,wide,12,12,1,0,0.9230769230769231,1
fft,ensemble,precise,12,12,3,0,0.8,1
fft,ensemble,wide,12,12,2,0,0.8571428571428571,1
stft,ensemble,precise,12,12,9,0,0.5714285714285714,1
stft,ensemble,wide,12,12,3,0,0.8,1
all,ensemble,precise,12,12,10,0,0.5454545454545454,1
all,ensemble,wide,12,12,4,0,0.75,1
